additive_energy,additive_energy_fraction,additive_is_dominant,case_id,channel,checkpoint,edge,environment_dominant_occupancy,module_dominant_occupancy,pairwise_abs_mean,pairwise_contribution_fraction,query_dominant_occupancy,query_mean_probability,region,region_scale_x,region_scale_y,region_x,region_y,source_scale_x,source_scale_y,source_x,source_y
0.010857472274813236,0.03665393521767661,0.0,0273,temperature,stage1_1005_best,5,0.020833333333333332,0.08333333333333333,0.5184574349836999,0.21429668487956016,0.18212890625,0.1815675093534952,whole,1.9781529903411865,0.703667163848877,2.745269298553467,4.1528449058532715,0.46928471326828003,0.8396661877632141,5.841747760772705,2.582906484603882
0.03296493231479791,0.10105319833694691,0.0,0273,u,stage1_1005_best,0,0.041666666666666664,0.75,0.37124138289735525,0.1534471149931679,0.1358642578125,0.12564779284219776,fluid,1.1570545434951782,0.7915905117988586,4.8161725997924805,3.4842517375946045,1.0310724973678589,0.6089000105857849,5.33420467376709,3.488962411880493
0.17015429300552573,0.5216038472268217,1.0,0273,u,stage1_1005_best,1,0.21875,0.0,0.5186020522917703,0.21435646029718275,0.3133544921875,0.308826298844955,fluid,2.1142215728759766,1.6873198747634888,2.5669569969177246,4.1138763427734375,0.8776900172233582,0.8083215355873108,4.564900875091553,3.5775394439697266
0.0027642301787309128,0.0084736803895962,0.0,0273,u,stage1_1005_best,2,0.20833333333333334,0.0,0.13446554786585282,0.055579338232601534,0.0087890625,0.032312130246776205,fluid,2.6686630249023438,1.6443407535552979,5.577813625335693,2.2210683822631836,1.0116331577301025,0.7988300919532776,4.929332256317139,3.463099479675293
0.02337804900822926,0.0716648407040401,0.0,0273,u,stage1_1005_best,3,0.036458333333333336,0.08333333333333333,0.5370195677120805,0.22196906691051976,0.2237548828125,0.21915105440871427,fluid,1.1160832643508911,0.8596423268318176,1.8485068082809448,0.9142774343490601,0.5323663949966431,0.814520537853241,5.688813209533691,2.32061505317688
0.009827276196256035,0.03012527619012969,0.0,0273,u,stage1_1005_best,4,0.4739583333333333,0.08333333333333333,0.3395581831760042,0.14035133468696787,0.1361083984375,0.13249521430386157,fluid,2.597942590713501,1.5405998229980469,8.383432388305664,2.9115865230560303,0.9913985133171082,0.48749709129333496,4.685647010803223,3.7564775943756104
0.0871248657451478,0.2670791571524653,0.0,0273,u,stage1_1005_best,5,0.020833333333333332,0.08333333333333333,0.5184574349836999,0.21429668487956016,0.18212890625,0.1815675093534952,fluid,1.9781529903411865,0.703667163848877,2.745269298553467,4.1528449058532715,0.46928471326828003,0.8396661877632141,5.841747760772705,2.582906484603882
0.15132031858045827,0.12924560212339775,0.0,0273,v,stage1_1005_best,0,0.041666666666666664,0.75,0.37124138289735525,0.1534471149931679,0.1358642578125,0.12564779284219776,fluid,1.1570545434951782,0.7915905117988586,4.8161725997924805,3.4842517375946045,1.0310724973678589,0.6089000105857849,5.33420467376709,3.488962411880493
0.5014631219443496,0.4283093225442508,1.0,0273,v,stage1_1005_best,1,0.21875,0.0,0.5186020522917703,0.21435646029718275,0.3133544921875,0.308826298844955,fluid,2.1142215728759766,1.6873198747634888,2.5669569969177246,4.1138763427734375,0.8776900172233582,0.8083215355873108,4.564900875091553,3.5775394439697266
0.015192675810763723,0.012976357381799206,0.0,0273,v,stage1_1005_best,2,0.20833333333333334,0.0,0.13446554786585282,0.055579338232601534,0.0087890625,0.032312130246776205,fluid,2.6686630249023438,1.6443407535552979,5.577813625335693,2.2210683822631836,1.0116331577301025,0.7988300919532776,4.929332256317139,3.463099479675293
